Year,Player
2002,Allen Iverson
2002,Gary Payton
2001,Tim Duncan
2001,Chris Webber
2001,Shaquille O'Neal
2001,Allen Iverson
2001,Jason Kidd
2001,Kevin Garnett
2001,Vince Carter
2001,Dikembe Mutombo
2001,Kobe Bryant
2001,Tracy McGrady
2000,Tim Duncan
2000,Kevin Garnett
2000,Shaquille O'Neal
2000,Gary Payton
2000,Jason Kidd
2000,Grant Hill
2000,Karl Malone
2000,Alonzo Mourning
2000,Kobe Bryant
2000,Allen Iverson
1999,Tim Duncan
1999,Karl Malone
1999,Alonzo Mourning
1999,Allen Iverson
1999,Jason Kidd
1999,Grant Hill
1999,Chris Webber
1999,Shaquille O'Neal
1999,Tim Hardaway
1999,Gary Payton
1998,Tim Duncan
1998,Karl Malone
1998,Shaquille O'Neal
1998,Michael Jordan
1998,Gary Payton
1998,Grant Hill
1998,Vin Baker
1998,David Robinson
1998,Tim Hardaway
1998,Rod Strickland
1997,Grant Hill
1997,Karl Malone
1997,Hakeem Olajuwon
1997,Michael Jordan
1997,Tim Hardaway
1997,Scottie Pippen
1997,Glen Rice
1997,Patrick Ewing
1997,Gary Payton
1997,Mitch Richmond
1996,Scottie Pippen
1996,Karl Malone
1996,David Robinson
1996,Michael Jordan
1996,Anfernee Hardaway
1996,Grant Hill
1996,Shawn Kemp
1996,Hakeem Olajuwon
1996,Gary Payton
1996,John Stockton
1995,Scottie Pippen
1995,Karl Malone
1995,David Robinson
1995,John Stockton
1995,Anfernee Hardaway
1995,Charles Barkley
1995,Shawn Kemp
1995,Shaquille O'Neal
1995,Gary Payton
1995,Mitch Richmond
1994,Scottie Pippen
1994,Karl Malone
1994,Hakeem Olajuwon
1994,John Stockton
1994,Latrell Sprewell
1994,Charles Barkley
1994,Shawn Kemp
1994,David Robinson
1994,Kevin Johnson
1994,Mitch Richmond
1993,Charles Barkley
1993,Karl Malone
1993,Hakeem Olajuwon
1993,Michael Jordan
1993,Mark Price
1993,Larry Johnson
1993,Dominique Wilkins
1993,Patrick Ewing
1993,Joe Dumars
1993,John Stockton
1992,Chris Mullin
1992,Karl Malone
1992,David Robinson
1992,Michael Jordan
1992,Clyde Drexler
1992,Charles Barkley
1992,Scottie Pippen
1992,Patrick Ewing
1992,Tim Hardaway
1992,John Stockton
1991,Charles Barkley
1991,Karl Malone
1991,David Robinson
1991,Michael Jordan
1991,Magic Johnson
1991,Chris Mullin
1991,Dominique Wilkins
1991,Patrick Ewing
1991,Clyde Drexler
1991,Kevin Johnson
1990,Charles Barkley
1990,Karl Malone
1990,Patrick Ewing
1990,Michael Jordan
1990,Magic Johnson
1990,Larry Bird
1990,Tom Chambers
1990,Hakeem Olajuwon
1990,John Stockton
1990,Kevin Johnson
1989,Charles Barkley
1989,Karl Malone
1989,Hakeem Olajuwon
1989,Michael Jordan
1989,Magic Johnson
1989,Chris Mullin
1989,Tom Chambers
1989,Patrick Ewing
1989,John Stockton
1989,Clyde Drexler
1988,Charles Barkley
1988,Larry Bird
1988,Hakeem Olajuwon
1988,Michael Jordan
1988,Magic Johnson
1988,KarlMalone
1988,Dominique Wilkins
1988,Patrick Ewing
1988,John Stockton
1988,Clyde Drexler
1987,Kevin McHale
1987,Larry Bird
1987,Hakeem Olajuwon
1987,Michael Jordan
1987,Magic Johnson
1987,Charles Barkley
1987,Dominique Wilkins
1987,Moses Malone
1987,Fat Lever
1987,Isiah Thomas
1986,Dominique Wilkins
1986,Larry Bird
1986,Kareem Abdul-Jabbar
1986,Isiah Thomas
1986,Magic Johnson
1986,Charles Barkley
1986,Alex English
1986,Hakeem Olajuwon
1986,Sidney Moncrief
1986,Alvin Robertson
1985,Benard King
1985,Larry Bird
1985,Moses Malone
1985,Isiah Thomas
1985,Magic Johnson
1985,Terry Cummings
1985,Ralph Sampson
1985,Kareem Abdul-Jabbar
1985,Sidney Moncrief
1985,Michael Jordan
1984,Bernard King
1984,Larry Bird
1984,Kareem Abdul-Jabbar
1984,Isiah Thomas
1984,Magic Johnson
1984,Adrian Dantley
1984,Julius Erving
1984,Moses Malone
1984,Sidney Moncrief
1984,Jim Paxson
1983,Julius Erving
1983,Larry Bird
1983,Moses Malone
1983,Sidney Moncrief
1983,Magic Johnson
1983,Alex English
1983,Buck Williams
1983,Kareem Abdul-Jabbar
1983,George Gervin
1983,Isiah Thomas
1982,Julius Erving
1982,Larry Bird
1982,Moses Malone
1982,George Gervin
1982,Gus Williams
1982,Alex English
1982,Bernard King
1982,Robert Parish
1982,Sidney Moncrief
1982,Magic Johnson
1981,Julius Erving
1981,Larry Bird
1981,Kareem Abdul-Jabbar
1981,George Gervin
1981,Dennis Johnson
1981,Adrian Dantley
1981,Marques Johnson
1981,Moses Malone
1981,Tiny Archibald
1981,Otis Birdsong
1980,Julius Erving
1980,Larry Bird
1980,Kareem Abdul-Jabbar
1980,George Gervin
1980,Paul Westphal
1980,Dan Roundfield
1980,Marques Johnson
1980,Moses Malone
1980,Dennis Johnson
1980,Gus Williams
1979,Elvin Hayes
1979,Marques Johnson
1979,Moses Malone
1979,George Gervin
1979,Paul Westphal
1979,Bob Dandridge
1979,Walter Davis
1979,Kareem Abdul-Jabbar
1979,Phil Ford
1979,World B. Free
1978,Julius Erving
1978,Truck Robinson
1978,Bill Walton
1978,George Gervin
1978,David Thompson
1978,Maurice Lucas
1978,Walter Davis
1978,Kareem Abdul-Jabbar
1978,Pete Maravich
1978,Paul Westphal
1977,Elvin Hayes
1977,David Thompson
1977,Kareem Abdul-Jabbar
1977,Pete Maravich
1977,Paul Westphal
1977,Julius Erving
1977,George McGinnis
1977,Bill Walton
1977,George Gervin
1977,Jo Jo White
1976,Rick Barry
1976,George McGinnis
1976,Kareem Abdul-Jabbar
1976,Pete Maravich
1976,Tiny Archibald
1976,John Havlicek
1976,Elvin Hayes
1976,Dave Cowens
1976,Phil Smith
1976,Randy Smith
1975,Rick Barry
1975,Elvin Hayes
1975,Bob McAdoo
1975,Tiny Archibald
1975,Walt Frazier
1975,John Havlicek
1975,Spencer Haywood
1975,Dave Cowens
1975,Phil Chenier
1975,Jo Jo White
1974,Rick Barry
1974,John Havlicek
1974,Kareem Abdul-Jabbar
1974,Gail Goodrich
1974,Walt Frazier
1974,Elvin Hayes
1974,Spencer Haywood
1974,Bob McAdoo
1974,Dave Bing
1974,Norm Van Lier
1973,Spencer Haywood
1973,John Havlicek
1973,Kareem Abdul-Jabbar
1973,Tiny Archibald
1973,Jerry West
1973,Elvin Hayes
1973,Rick Barry
1973,Dave Cowens
1973,Walt Frazier
1973,Pete Maravich
1972,Spencer Haywood
1972,John Havlicek
1972,Kareem Abdul-Jabbar
1972,Walt Frazier
1972,Jerry West
1972,Billy Cunningham
1972,Bob Love
1972,Wilt Chamberlain
1972,Tiny Archibald
1972,Archie Clark
1971,Billy Cunningham
1971,John Havlicek
1971,Kareem Abdul-Jabbar
1971,Dave Bing
1971,Jerry West
1971,Gus Johnson
1971,Bob Love
1971,Willis Reed
1971,Walt Frazier
1971,Oscar Robertson
1970,Billy Cunningham
1970,Connie Hawkins
1970,Willis Reed
1970,Walt Frazier
1970,Jerry West
1970,Gus Johnson
1970,John Havlicek
1970,Kareem Abdul-Jabbar
1970,Lou Hudson
1970,Oscar Robertson
1969,Billy Cunningham
1969,Elgin Baylor
1969,Wes Unseld
1969,Earl Monroe
1969,Oscar Robertson
1969,Dave DeBusschere
1969,John Havlicek
1969,Willis Reed
1969,Hal Greer
1969,Jerry West
1968,Jerry Lucas
1968,Elgin Baylor
1968,Wilt Chamberlain
1968,Dave Bing
1968,Oscar Robertson
1968,Willis Reed
1968,John Havlicek
1968,Bill Russell
1968,Hal Greer
1968,Jerry West
1967,Rick Barry
1967,Elgin Baylor
1967,Wilt Chamberlain
1967,Jerry West
1967,Oscar Robertson
1967,Willis Reed
1967,Jerry Lucas
1967,Bill Russell
1967,Hal Greer
1967,Sam Jones
1966,Rick Barry
1966,Jerry Lucas
1966,Wilt Chamberlain
1966,Jerry West
1966,Oscar Robertson
1966,John Havlicek
1966,Gus Johnson
1966,Bill Russell
1966,Hal Greer
1966,Sam Jones
1965,Elgin Baylor
1965,Jerry Lucas
1965,Bill Russell
1965,Jerry West
1965,Oscar Robertson
1965,Bob Pettit
1965,Gus Johnsson
1965,Wilt Chamberlain
1965,Hal Greer
1965,Sam Jones
1964,Elgin Baylor
1964,Bob Pettit
1964,Wilt Chamberlain
1964,Jerry West
1964,Oscar Robertson
1964,Tom Heinsohn
1964,Jerry Lucas
1964,Bill Russell
1964,Hal Greer
1964,John Havlicek
1963,Elgin Baylor
1963,Bob Pettit
1963,Bill Russell
1963,Jerry West
1963,Oscar Robertson
1963,Tom Heinsohn
1963,Bailey Howell
1963,Wilt Chamberlain
1963,Hal Greer
1963,Bob Cousy
1962,Elgin baylor
1962,Bob Pettit
1962,Wilt Chamberlain
1962,Jerry West
1962,Oscar Robertson
1962,Tom Heinsohn
1962,Jack Twyman
1962,Bill Russell
1962,Richie Guerin
1962,Bob Cousy
1961,Elgin Baylor
1961,Bob Pettit
1961,Wilt Chamberlain
1961,Bob Cousy
1961,Oscar Robertson
1961,Tom Heinsohn
1961,Dolph Schayes
1961,Bill Russell
1961,Larry Costello
1961,Gene Shue
1960,Elgin Baylor
1960,Bob Pettit
1960,Wilt Chamberlain
1960,Bob Cousy
1960,Gene Shue
1960,Jack Twyman
1960,Dolph Schayes
1960,Bill Russell
1960,Richie Griffin
1960,Bill Sharman
1959,Elgin Baylor
1959,Bob Pettit
1959,Bill Russell
1959,Bob Cousy
1959,Bill Sharman
1959,Paul Arizin
1959,Cliff Hagan
1959,Dolph Schayes
1959,Richie Guerin
1959,Slater Martin
1958,Dolph Schayes
1958,George Yardley
1958,Bob Pettit
1958,Bob Cousy
1958,Bill Sharman
1958,Maurice Stokes
1958,Cliff Hagan
1958,Bill Russell
1958,Tom Gola
1958,Slater Martin
1957,Dolph Schayes
1957,Paul Arizin
1957,Bob Pettit
1957,Bob Cousy
1957,Bill Sharman
1957,Maurice Stokes
1957,George Yardley
1957,Neil Johnson
1957,Dick Garmaker
1957,Slater Martin
1956,Bob Pettit
1956,Paul Arizin
1956,Neil Johnson
1956,Bob Cousy
1956,Bill Sharman
1956,Maurice Stokes
1956,Dolph Schayes
1956,Clyde Lovellette
1956,Jack George
1956,Slater Martin
1955,Bob Pettit
1955,Dolph Schayes
1955,Neil Johnson
1955,Bob Cousy
1955,Larry Foust
1955,Bill Sharman
1955,Paul Seymour
1955,Vern Mikkelsen
1955,Harry Gallatin
1955,Slater Martin
1954,George Mikan
1954,Dolph Schayes
1954,Neil Johnston
1954,Bob Cousy
1954,Harry Gallatin
1954,Carl Braun
1954,Ed Macauley
1954,Jim Pollard
1954,Paul Seymour
1954,Bobby Wanzer
1953,George Mikan
1953,Dolph Schayes
1953,Neil Johnston
1953,Bob Cousy
1953,Ed Macauley
1953,Bob Davies
1953,Vern Mikkelsen
1953,Andy Phillip
1953,Bill Sharman
1953,Bobby Wanzer
1952,George Mikan
1952,Bob Cousy
1952,Ed Macauley
1952,Paul Arizin
1952,Bob Davies (tie)
1952,Dolph Schayes (tie)
1952,Larry Foust
1952,Vern Mikkelsen
1952,Andy Phillip
1952,Jim Pollard
1952,Bobby Wanzer
1951,Ralph Beard
1951,Bob Davies
1951,Alex Groza
1951,Ed Macauley
1951,George Mikan
1951,Frankie Brian
1951,Vern Mikkelsen
1951,Joe Fulks
1951,Dick McGuire
1951,Dolph Schayes
1950,Max Zaslofsky
1950,Bob Davies
1950,Alex Groza
1950,Jim Pollard
1950,George Mikan
1950,Ralph Beard
1950,Frankie Brian
1950,Al Cervi
1950,Fred Schaus
1950,Dolph Schayes
